gap_id,category,severity,subject,location,summary,recommended_action
GAP-POL-DSCB-L3-REQ-004,policy_automation_candidate,low,DSCB-L3-REQ-004,controls/dscb-l3.yaml,DSCB-L3-REQ-004 uses automated verification but is not yet modeled as a policy-as-code candidate.,Review whether this control should remain evidence-only or be promoted into an executable policy candidate.
GAP-POL-DSCB-L3-REQ-007,policy_automation_candidate,low,DSCB-L3-REQ-007,controls/dscb-l3.yaml,DSCB-L3-REQ-007 uses automated verification but is not yet modeled as a policy-as-code candidate.,Review whether this control should remain evidence-only or be promoted into an executable policy candidate.
GAP-POL-DSCB-L3-REQ-008,policy_automation_candidate,low,DSCB-L3-REQ-008,controls/dscb-l3.yaml,DSCB-L3-REQ-008 uses automated verification but is not yet modeled as a policy-as-code candidate.,Review whether this control should remain evidence-only or be promoted into an executable policy candidate.
GAP-POL-DSCB-L3-REQ-010,policy_automation_candidate,low,DSCB-L3-REQ-010,controls/dscb-l3.yaml,DSCB-L3-REQ-010 uses automated verification but is not yet modeled as a policy-as-code candidate.,Review whether this control should remain evidence-only or be promoted into an executable policy candidate.
GAP-POL-DSCB-L3-REQ-011,policy_automation_candidate,low,DSCB-L3-REQ-011,controls/dscb-l3.yaml,DSCB-L3-REQ-011 uses automated verification but is not yet modeled as a policy-as-code candidate.,Review whether this control should remain evidence-only or be promoted into an executable policy candidate.
GAP-DOC-DEVSECOPS-DIR-001,governance_document_status,medium,DEVSECOPS-DIR-001,docs/directive/devsecops-directive.md,DevSecOps Directive is still in draft status.,"Review, approve, and update the catalog status once the document is formally adopted."
GAP-DOC-DEVSECOPS-POL-001,governance_document_status,medium,DEVSECOPS-POL-001,docs/policy/devsecops-policy.md,DevSecOps Policy - Software Defined Defence (SDD) is still in draft status.,"Review, approve, and update the catalog status once the document is formally adopted."
GAP-CAP-central_signing_key_management,platform_capability_model,medium,central_signing_key_management,platform/platform-capabilities.yaml,Platform capability central_signing_key_management still uses placeholder area 'TBD'.,Assign the capability to a concrete architectural area for governance and ownership reporting.
GAP-CAP-enterprise_trust_infrastructure,platform_capability_model,medium,enterprise_trust_infrastructure,platform/platform-capabilities.yaml,Platform capability enterprise_trust_infrastructure still uses placeholder area 'TBD'.,Assign the capability to a concrete architectural area for governance and ownership reporting.
GAP-CAP-external_download_prevention,platform_capability_model,medium,external_download_prevention,platform/platform-capabilities.yaml,Platform capability external_download_prevention still uses placeholder area 'TBD'.,Assign the capability to a concrete architectural area for governance and ownership reporting.
GAP-CAP-provenance_capture,platform_capability_model,medium,provenance_capture,platform/platform-capabilities.yaml,Platform capability provenance_capture still uses placeholder area 'TBD'.,Assign the capability to a concrete architectural area for governance and ownership reporting.
GAP-CAP-signature_verification,platform_capability_model,medium,signature_verification,platform/platform-capabilities.yaml,Platform capability signature_verification still uses placeholder area 'TBD'.,Assign the capability to a concrete architectural area for governance and ownership reporting.
GAP-CAP-signing_key_management,platform_capability_model,medium,signing_key_management,platform/platform-capabilities.yaml,Platform capability signing_key_management still uses placeholder area 'TBD'.,Assign the capability to a concrete architectural area for governance and ownership reporting.
