control_id,level,domain,title,requirement,verification_requirement,required_platform_level,platform_capabilities,evidence,verification_method,verification_frequency,automation_type,automation_maturity,automation_check_type,machine_readable_evidence_required,automation_rationale,policy_candidate,policy_rule,waiver_allowed,waiver_authority
DSCB-L1-REQ-014,L1,release_authorization,Release Authorization,Only approved artifacts SHALL be deployed.,Deployment evidence SHALL show that only artifacts with approved release status were deployed.,PRA-Level 1,release_approval_workflow; deployment_logging; approved_artifact_selection,release_approval_records; deployment_logs,hybrid,release_candidate,blocking_gate,tool_integration_required,approval,true,Deployment can be blocked when artifact approval evidence is missing.,false,,true,DevSecOps Governance Board
DSCB-L1-REQ-015,L1,pipeline_evidence_generation,Pipeline Evidence Generation,DevSecOps pipelines SHALL generate machine-readable evidence artifacts for implemented controls.,Each pipeline execution SHALL produce a machine-readable evidence bundle covering the implemented controls applicable to the pipeline stage.,PRA-Level 1,machine_readable_evidence_generation; pipeline_audit_logs; evidence_repository,pipeline_execution_logs; security_scan_reports; artifact_metadata; approval_records,automated,release_candidate,evidence_check,immediate,presence,true,Machine-readable evidence bundle presence can be checked.,false,,true,DevSecOps Governance Board
DSCB-L1-REQ-016,L1,operational_traceability,Operational Traceability,Operational environments SHALL maintain records of deployed software versions and relevant security events.,Each operational deployment SHALL provide records linking deployed software versions to deployment records and relevant security or incident events.,PRA-Level 1,deployment_records; operational_logging; incident_record_repository,system_logs; deployment_records; incident_records,hybrid,release_candidate,evidence_check,tool_integration_required,linkage,true,Operational version and security event records can be checked through deployment and logging integrations.,false,,true,DevSecOps Governance Board
DSCB-L2-REQ-001,L2,secure_development_environments,Secure Development Environments,Development environments SHALL be centrally managed.,Platform inventory or configuration management evidence SHALL show that development environments are centrally managed.,PRA-Level 2,central_development_environment_management; configuration_baselines; secure_developer_workspace,environment_configuration_records; system_configuration_baselines,hybrid,release_candidate,evidence_check,tool_integration_required,configuration,true,Central management evidence can be checked through endpoint or platform inventory.,false,,true,DevSecOps Governance Board
DSCB-L2-REQ-002,L2,secure_development_environments,Secure Development Environments,Development environments SHALL comply with enterprise security configuration standards.,Development environment evidence SHALL show compliance with the applicable enterprise security configuration baseline.,PRA-Level 2,central_development_environment_management; configuration_baselines; secure_developer_workspace,environment_configuration_records; system_configuration_baselines,hybrid,release_candidate,evidence_check,tool_integration_required,configuration,true,Configuration baseline compliance can be checked through endpoint/configuration evidence.,false,,true,DevSecOps Governance Board
DSCB-L2-REQ-003,L2,devsecops_platform_access_control,DevSecOps Platform Access Control,Access to DevSecOps platforms SHALL be controlled through centralized identity management,Platform configuration evidence SHALL show that DevSecOps platform access is integrated with centralized identity management.,PRA-Level 2,central_iam; rbac; mfa_privileged_access; access_audit_logging,authentication_logs; access_control_configuration,automated,release_candidate,evidence_check,tool_integration_required,configuration,true,Central identity management can be checked through platform configuration.,false,,true,DevSecOps Governance Board
DSCB-L2-REQ-004,L2,devsecops_platform_access_control,DevSecOps Platform Access Control,Multi-factor authentication SHALL be enforced for privileged access.,Privileged access evidence SHALL show that multi-factor authentication is enforced for privileged DevSecOps platform roles.,PRA-Level 2,central_iam; rbac; mfa_privileged_access; access_audit_logging,authentication_logs; access_control_configuration,automated,release_candidate,blocking_gate,tool_integration_required,configuration,true,Privileged access without MFA can be detected and blocked.,true,policies/opa/access_control.rego,true,CISO
DSCB-L2-REQ-005,L2,dependency_source_control,Dependency Source Control,Software dependencies SHALL be retrieved from approved repositories.,Build and dependency configuration SHALL show that software dependencies are retrieved from approved repositories.,PRA-Level 2,approved_dependency_repositories; dependency_proxy; external_download_prevention,repository_configuration; dependency_management_logs,automated,release_candidate,blocking_gate,tool_integration_required,configuration,true,Approved dependency repository use can be enforced in build configuration.,false,,true,DevSecOps Governance Board
DSCB-L2-REQ-006,L2,dependency_source_control,Dependency Source Control,Direct downloads from external sources SHALL NOT be permitted.,"Pipeline, build, or dependency logs SHALL show that direct downloads from non-approved external sources are not used.",PRA-Level 2,approved_dependency_repositories; dependency_proxy; external_download_prevention,repository_configuration; dependency_management_logs,automated,release_candidate,blocking_gate,immediate,configuration,true,Direct external downloads can be detected in pipelines and build logs.,true,policies/opa/dependency_source_control.rego,true,DevSecOps Governance Board
DSCB-L2-REQ-007,L2,artifact_signing,Artifact Signing,Software artifacts SHALL be cryptographically signed before release.,Each releasable artifact SHALL provide signature evidence created before release.,PRA-Level 2,artifact_signing_service; signing_key_management; signature_verification,artifact_signatures; signing_records,automated,release_candidate,blocking_gate,tool_integration_required,integrity,true,Unsigned artifacts can be blocked before release.,true,policies/opa/artifact_signing.rego,true,DevSecOps Governance Board
DSCB-L2-REQ-008,L2,artifact_signing,Artifact Signing,Signing keys SHALL be protected and managed according to enterprise security policies.,Signing infrastructure evidence SHALL show that signing keys are protected and managed according to enterprise security policy.,PRA-Level 2,artifact_signing_service; signing_key_management; signature_verification,artifact_signatures; signing_records,automated,release_candidate,evidence_check,tool_integration_required,configuration,true,Key protection requires evidence from key management or signing infrastructure.,false,,true,DevSecOps Governance Board
DSCB-L2-REQ-009,L2,infrastructure_as_code,Infrastructure as Code,Infrastructure used for software deployment SHALL be defined through Infrastructure as Code.,Deployment evidence SHALL reference version-controlled Infrastructure as Code definitions for the deployed infrastructure.,PRA-Level 2,iac_repository; environment_configuration_management; iac_validation,infrastructure_repositories; infrastructure_change_history,hybrid,release_candidate,evidence_check,tool_integration_required,linkage,true,IaC presence can be checked through repository and deployment metadata.,true,policies/opa/iac_required.rego,true,DevSecOps Governance Board
DSCB-L2-REQ-010,L2,infrastructure_as_code,Infrastructure as Code,Infrastructure definitions SHALL be maintained in version control.,Infrastructure definition evidence SHALL show that IaC sources are maintained in version control with change history.,PRA-Level 2,iac_repository; environment_configuration_management; iac_validation,infrastructure_repositories; infrastructure_change_history,hybrid,release_candidate,evidence_check,immediate,configuration,true,Version control for IaC can be checked through repository metadata.,true,policies/opa/iac_required.rego,true,DevSecOps Governance Board
DSCB-L2-REQ-011,L2,pipeline_security_gates,Pipeline Security Gates,DevSecOps pipelines SHALL enforce security gates.,Pipeline execution evidence SHALL show that required security gates were executed for the relevant lifecycle stage.,PRA-Level 2,policy_gate_engine; security_threshold_enforcement; release_blocking,pipeline_policy_gate_records; pipeline_execution_logs,automated,release_candidate,blocking_gate,immediate,presence,true,Security gate execution can be enforced in pipeline templates.,true,policies/opa/pipeline_security_gates.rego,true,DevSecOps Governance Board
DSCB-L2-REQ-012,L2,pipeline_security_gates,Pipeline Security Gates,Releases SHALL NOT proceed when defined security thresholds are exceeded.,Release decision evidence SHALL show that releases are blocked when security thresholds are exceeded unless an approved waiver exists.,PRA-Level 2,policy_gate_engine; security_threshold_enforcement; release_blocking,pipeline_policy_gate_records; pipeline_execution_logs,automated,release_candidate,blocking_gate,immediate,threshold,true,Release can be blocked when thresholds are exceeded without waiver.,true,policies/opa/pipeline_security_gates.rego,true,DevSecOps Governance Board
DSCB-L2-REQ-013,L2,security_monitoring,Security Monitoring,Operational systems SHALL generate security-relevant events.,Operational system evidence SHALL show that defined security-relevant events are generated.,PRA-Level 2,security_event_generation; security_event_forwarding; monitoring_integration,security_monitoring_logs; security_event_records,automated,release_candidate,evidence_check,tool_integration_required,presence,true,Security event generation can be checked through logging configuration or telemetry evidence.,false,,true,DevSecOps Governance Board
DSCB-L2-REQ-014,L2,security_monitoring,Security Monitoring,Security events SHALL be forwarded to monitoring systems.,Monitoring configuration or telemetry evidence SHALL show that security events are forwarded to approved monitoring systems.,PRA-Level 2,security_event_generation; security_event_forwarding; monitoring_integration,security_monitoring_logs; security_event_records,automated,release_candidate,evidence_check,tool_integration_required,configuration,true,Forwarding to monitoring can be checked through logging/monitoring configuration evidence.,false,,true,DevSecOps Governance Board
DSCB-L3-REQ-001,L3,deterministic_builds,Deterministic Builds,Software builds SHALL be reproducible using identical source code and build configuration.,Rebuild verification evidence SHALL show that the same source code and build configuration can reproduce the expected build output within defined tolerance.,PRA-Level 3,reproducible_build_verification; version_controlled_build_configuration,rebuild_verification_records; build_configuration_records,hybrid,release_candidate,evidence_check,future,integrity,true,Reproducible build verification can be automated after deterministic build tooling is established.,false,,true,DevSecOps Governance Board
DSCB-L3-REQ-002,L3,deterministic_builds,Deterministic Builds,Build configurations SHALL be version controlled.,Build configuration evidence SHALL show that build definitions are maintained in version control and linked to the build execution.,PRA-Level 3,reproducible_build_verification; version_controlled_build_configuration,rebuild_verification_records; build_configuration_records,hybrid,release_candidate,evidence_check,immediate,linkage,true,Build configuration version control can be checked through repository metadata.,false,,true,DevSecOps Governance Board
DSCB-L3-REQ-003,L3,build_environment_isolation,Build Environment Isolation,Software builds SHALL be executed in isolated build environments.,Pipeline evidence SHALL show that builds are executed in isolated build environments.,PRA-Level 3,isolated_build_environment; recreatable_build_environment,build_environment_configuration; pipeline_execution_records,automated,release_candidate,evidence_check,tool_integration_required,configuration,true,Build environment isolation can be checked through runner/container evidence.,false,,true,DevSecOps Governance Board
DSCB-L3-REQ-004,L3,build_environment_isolation,Build Environment Isolation,Build environments SHALL be recreated for each pipeline execution.,Pipeline environment evidence SHALL show that build environments are recreated for each controlled pipeline execution.,PRA-Level 3,isolated_build_environment; recreatable_build_environment,build_environment_configuration; pipeline_execution_records,automated,release_candidate,evidence_check,tool_integration_required,configuration,true,Recreated build environments can be checked through pipeline environment metadata.,false,,true,DevSecOps Governance Board
DSCB-L3-REQ-005,L3,dependency_provenance,Dependency Provenance,Software dependencies SHALL include verifiable provenance information.,Dependency metadata SHALL provide verifiable provenance information for dependencies used in the build.,PRA-Level 3,provenance_capture; trusted_dependency_sourcing; dependency_records,provenance_metadata; dependency_records,hybrid,release_candidate,evidence_check,future,provenance,true,Dependency provenance requires provenance-capable tooling and metadata.,false,,true,DevSecOps Governance Board
DSCB-L3-REQ-006,L3,dependency_provenance,Dependency Provenance,Dependency provenance SHALL be recorded during the build process.,Build evidence SHALL record dependency provenance metadata during the build process.,PRA-Level 3,provenance_capture; trusted_dependency_sourcing; dependency_records,provenance_metadata; dependency_records,hybrid,release_candidate,evidence_check,future,provenance,true,Build-time provenance recording requires provenance capture tooling.,false,,true,DevSecOps Governance Board
DSCB-L3-REQ-007,L3,trusted_artifact_signing,Trusted Artifact Signing,Software artifacts SHALL be signed using enterprise signing infrastructure.,Artifact signature evidence SHALL show that released artifacts are signed using enterprise signing infrastructure.,PRA-Level 3,enterprise_trust_infrastructure; central_signing_key_management; artifact_signature_logs,signing_infrastructure_records; artifact_signature_logs,automated,release_candidate,blocking_gate,tool_integration_required,integrity,true,Enterprise signing infrastructure can enforce artifact signing.,false,,true,DevSecOps Governance Board
DSCB-L3-REQ-008,L3,trusted_artifact_signing,Trusted Artifact Signing,Signing keys SHALL be centrally managed.,Trust infrastructure evidence SHALL show that signing keys are centrally managed.,PRA-Level 3,enterprise_trust_infrastructure; central_signing_key_management; artifact_signature_logs,signing_infrastructure_records; artifact_signature_logs,automated,release_candidate,evidence_check,tool_integration_required,configuration,true,Central key management is evidenced by signing infrastructure configuration.,false,,true,DevSecOps Governance Board
DSCB-L3-REQ-009,L3,end_to_end_traceability,End-to-End Traceability,"Traceability SHALL exist between requirements, source code, verification Cases / Procedures and Test result, build artifacts, and deployed software.","Each release candidate SHALL provide end-to-end traceability evidence linking requirements, source code, verification results, build artifacts, deployment metadata, and deployed software.",PRA-Level 3,end_to_end_traceability; deployment_metadata; evidence_graph,traceability_records; deployment_metadata,hybrid,release_candidate,evidence_check,future,linkage,true,End-to-end traceability can be graph-checked after ALM/repo/pipeline integration.,false,,true,DevSecOps Governance Board
DSCB-L3-REQ-010,L3,runtime_integrity_verification,Runtime Integrity Verification,Runtime environments SHALL verify the integrity of deployed software artifacts.,Runtime evidence SHALL show integrity verification results for deployed software artifacts.,PRA-Level 3,runtime_integrity_verification; deployment_traceability,runtime_integrity_verification_logs,automated,release_candidate,evidence_check,future,integrity,true,Runtime integrity verification requires runtime attestation or verification telemetry.,false,,true,CISO
DSCB-L3-REQ-011,L3,continuous_compliance_evidence,Continuous Compliance Evidence,DevSecOps platforms SHALL generate machine-readable compliance evidence for lifecycle activities.,The DevSecOps platform SHALL provide machine-readable compliance evidence covering lifecycle activities and linked control identifiers.,PRA-Level 3,continuous_compliance_evidence; compliance_evidence_repository; pipeline_audit_logs,compliance_evidence_repository; pipeline_audit_records,automated,release_candidate,evidence_check,tool_integration_required,linkage,true,Continuous compliance evidence can be checked through evidence repository completeness.,false,,true,DevSecOps Governance Board
DSCB-GOV-REQ-001,GOV,applicability,Applicability,All programs SHALL implement the Level 1 Control Baseline.,Program governance records SHALL identify the applicable Control Baseline level for each program.,Not applicable,governance_workflow; waiver_registry; compliance_reporting,program_control_baseline_assignment; applicability_assessment_record,hybrid,governance_review,evidence_check,immediate,presence,true,Program baseline assignment can be checked through governance records.,false,,true,DevSecOps Governance Board
DSCB-GOV-REQ-002,GOV,compliance_verification,Compliance Verification,Compliance with this Standard SHALL be verified through:,"Compliance verification evidence SHALL include maturity assessment, audit, architecture review, or program lifecycle review records as applicable.",Not applicable,governance_workflow; waiver_registry; compliance_reporting,maturity_assessment_record; internal_audit_record; architecture_review_record; program_lifecycle_review_record,hybrid,governance_review,review_check,tool_integration_required,review,true,Compliance verification includes audit and review activities that require human judgment.,false,,true,DevSecOps Governance Board
DSCB-GOV-REQ-003,GOV,compliance_verification,Compliance Verification,Non-compliance requires an approved waiver.,"Non-compliance records SHALL reference an approved waiver before a release, deployment, or governance decision is accepted.",Not applicable,governance_workflow; waiver_registry; compliance_reporting,maturity_assessment_record; internal_audit_record; architecture_review_record; program_lifecycle_review_record,hybrid,governance_review,blocking_gate,immediate,approval,true,Non-compliance without approved waiver can be blocked in governance/release checks.,true,policies/opa/waiver_validity.rego,false,DevSecOps Governance Board
DSCB-GOV-REQ-004,GOV,deviations,Deviations,Deviations from this Standard SHALL follow the waiver process defined in the DevSecOps Directive.,Deviation records SHALL reference the defined waiver process and waiver registry entry.,Not applicable,governance_workflow; waiver_registry; compliance_reporting,waiver_record; risk_classification; expiry_record; compensating_controls,hybrid,governance_review,evidence_check,immediate,linkage,true,Deviation process use can be checked through waiver registry records.,false,,true,DevSecOps Governance Board
DSCB-GOV-REQ-005,GOV,deviations,Deviations,All deviations SHALL:,"Each deviation SHALL provide machine-readable waiver evidence containing justification, documentation reference, risk classification, and expiry date.",Not applicable,governance_workflow; waiver_registry; compliance_reporting,waiver_record; risk_classification; expiry_record; compensating_controls,hybrid,governance_review,blocking_gate,immediate,approval,true,Waiver completeness and expiry can be automatically checked.,true,policies/opa/waiver_validity.rego,false,DevSecOps Governance Board
